         ---  Exchange: Binance Futures  ---  v6.33 (21.04.2021)  --- Reg.ID: 2206  VDS Mode: NO  FreePosMode: NO
MultiOrders: NO (cfg: NO)  XFunction: NO 
18:59:58.184   [S1] 18:59:58.184  {"e":"ORDER_TRADE_UPDATE","T":1622134798112,"E":1622134798117,"o":{"s":"BELUSDT","c":"x-yIXKfZTSM2jJZ1zQA54AsCnqhuqYP","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.31490","ap":"2.31420","sp":"0","x":"TRADE","X":"FILLED","i":953240220,"l":"3","z":"3","L":"2.31420","n":"0.00277704","N":"USDT","T":1622134798112,"t":22789709,"b":"34.65690","a":"0","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:58.741   [S1] 18:59:58.741  {"e":"ORDER_TRADE_UPDATE","T":1622134798668,"E":1622134798673,"o":{"s":"BELUSDT","c":"x-yIXKfZTSStPARknCJObGpkL6lq1e1","S":"SELL","o":"LIMIT","f":"GTC","q":"3","p":"2.38760","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240402,"l":"0","z":"0","L":"0","T":1622134798668,"t":0,"b":"34.65690","a":"7.16280","m":false,"R":true,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:58.770   [S1] 18:59:58.770  {"e":"ORDER_TRADE_UPDATE","T":1622134798686,"E":1622134798689,"o":{"s":"BELUSDT","c":"x-yIXKfZTSSbi83y28uYZJrRRM4JhUa","S":"SELL","o":"LIMIT","f":"GTC","q":"3","p":"2.38760","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240417,"l":"0","z":"0","L":"0","T":1622134798686,"t":0,"b":"34.65690","a":"14.32560","m":false,"R":true,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.130   [S1] 18:59:59.130  {"e":"ORDER_TRADE_UPDATE","T":1622134799054,"E":1622134799059,"o":{"s":"BELUSDT","c":"x-yIXKfZTSSHatVMqRf4LSE2OuHAiJA","S":"SELL","o":"LIMIT","f":"GTC","q":"3","p":"2.38750","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240457,"l":"0","z":"0","L":"0","T":1622134799054,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":true,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.303   [S1] 18:59:59.303  {"e":"ORDER_TRADE_UPDATE","T":1622134799232,"E":1622134799235,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMJRLkdj2dk62zdVAqkXwr","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32650","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240475,"l":"0","z":"0","L":"0","T":1622134799232,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.305   [S1] 18:59:59.305  {"e":"ORDER_TRADE_UPDATE","T":1622134799232,"E":1622134799235,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMJRLkdj2dk62zdVAqkXwr","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32650","ap":"2.31690","sp":"0","x":"TRADE","X":"FILLED","i":953240475,"l":"3","z":"3","L":"2.31690","n":"0.00278028","N":"USDT","T":1622134799232,"t":22789728,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.308   [S1] 18:59:59.308  {"e":"ORDER_TRADE_UPDATE","T":1622134799236,"E":1622134799239,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMPpLb0xsyGeA0um1sxeow","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32420","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240476,"l":"0","z":"0","L":"0","T":1622134799236,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.309   [S1] 18:59:59.309  {"e":"ORDER_TRADE_UPDATE","T":1622134799236,"E":1622134799239,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMPpLb0xsyGeA0um1sxeow","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32420","ap":"2.31690","sp":"0","x":"TRADE","X":"FILLED","i":953240476,"l":"3","z":"3","L":"2.31690","n":"0.00278028","N":"USDT","T":1622134799236,"t":22789729,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.330   [S1] 18:59:59.330  {"e":"ORDER_TRADE_UPDATE","T":1622134799259,"E":1622134799264,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMrGjfIeMkt4qF8ePUz8aS","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.31950","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240484,"l":"0","z":"0","L":"0","T":1622134799259,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.330   [S1] 18:59:59.330  {"e":"ORDER_TRADE_UPDATE","T":1622134799259,"E":1622134799264,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMrGjfIeMkt4qF8ePUz8aS","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.31950","ap":"2.31700","sp":"0","x":"TRADE","X":"FILLED","i":953240484,"l":"3","z":"3","L":"2.31700","n":"0.00278040","N":"USDT","T":1622134799259,"t":22789730,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.390   [S1] 18:59:59.390  {"e":"ORDER_TRADE_UPDATE","T":1622134799315,"E":1622134799322,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMzuOtV40NSqFXNy76kzpp","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32190","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240503,"l":"0","z":"0","L":"0","T":1622134799315,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.390   [S1] 18:59:59.390  {"e":"ORDER_TRADE_UPDATE","T":1622134799315,"E":1622134799322,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMzuOtV40NSqFXNy76kzpp","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32190","ap":"2.31700","sp":"0","x":"TRADE","X":"PARTIALLY_FILLED","i":953240503,"l":"1","z":"1","L":"2.31700","n":"0.00092680","N":"USDT","T":1622134799315,"t":22789731,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.390   [S1] 18:59:59.390  {"e":"ORDER_TRADE_UPDATE","T":1622134799315,"E":1622134799322,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMzuOtV40NSqFXNy76kzpp","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32190","ap":"2.31700","sp":"0","x":"TRADE","X":"FILLED","i":953240503,"l":"2","z":"3","L":"2.31700","n":"0.00185360","N":"USDT","T":1622134799315,"t":22789732,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
18:59:59.827   [S1] 18:59:59.827  {"e":"ORDER_TRADE_UPDATE","T":1622134799755,"E":1622134799760,"o":{"s":"BELUSDT","c":"x-yIXKfZTSMfQdz7WdODTdbu3kgAan5","S":"BUY","o":"LIMIT","f":"GTC","q":"3","p":"2.32320","ap":"0","sp":"0","x":"NEW","X":"NEW","i":953240569,"l":"0","z":"0","L":"0","T":1622134799755,"t":0,"b":"34.65690","a":"21.48810","m":false,"R":false,"wt":"CONTRACT_PRICE","ot":"LIMIT","ps":"LONG","cp":false,"rp":"0","pP":false,"si":0,"ss":0}}
